Follower_ID,Run_Index,A,Th,Ta,G,tau,lamb,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference
462,5,7.9274965800134645,4.763544526490895,4.4927187442720555,-0.005118889119737208,1.3911850183928154,0.06814243374628057,387.1008394237124,2.041682340920965,1.4288745014594406,1.5735806480638717,0.9035555647596512,0.08711175678888546,502.2538558665574,0.7613373641111827,387.1008394237124
107,23,8.067225921616474,3.262717136579939,5.601064042557313,-0.011736996551150417,1.4296448248891054,0.3317473264462294,108.73005710617602,0.671491051994135,0.8194455759805742,0.8768552992433549,0.8026796685196824,0.0799528874298944,83.26489044727273,0.8442639065974735,108.73005710617602
291,28,8.869984027720182,5.73843286508006,4.382541913338723,-0.14015520209955162,0.9518700954438791,-0.013922670446399638,196.6272817035948,2.5960657352338434,1.6112311240892299,0.9453234697288211,0.7370718957070805,0.1132114582158852,539.9816729286395,0.7011252256910677,196.6272817035948
90,29,7.454502909165695,5.495053361470214,5.34516660591356,-0.009832201451074385,1.649875355610056,0.36762076629579377,48.75670617656249,0.08120542578874072,0.2849656572093218,0.29549518894886356,0.2750516099389828,0.045443290788133146,13.398895255142218,0.9456525233483657,48.75670617656249
118,30,5.91670383111774,3.9341030408340916,5.641132618208488,-0.2154549394302927,0.9606263113323713,-0.0011188698412595566,1173.2557083530721,25.336234593919713,5.033511159610129,4.394216136153828,2.201522158499744,0.10112421167686503,6764.774636576563,0.7404971988757532,1173.2557083530721
231,31,5.847219911361071,4.567979130644342,5.0755448778056795,-0.004855498779771608,0.7433933244253466,0.28532499287286084,20.97064870520805,0.028023294282780536,0.16740159581909766,0.1923912725248445,0.1881257115840648,0.03236461323881292,3.0545390768230787,0.976560135992109,20.97064870520805
181,33,8.81289495754789,3.007660413169168,5.11484638207377,-0.012965583445086346,1.4719484695376273,0.3555756939031912,477.2741370624216,4.0366588191611426,2.009143802509204,1.9014905859060622,1.327222851488902,0.1144914394317062,1013.2013636094468,0.7400576233074185,477.2741370624216
218,35,7.668736810778121,5.518510625087817,3.45902257296452,0.0033252475829987638,1.514993439908118,0.3119203183979216,217.16887481024662,1.2808665152703023,1.131753734374357,1.2064937489458145,0.6712659087655987,0.08658645060747226,230.55597274865443,0.7965516578083247,217.16887481024662
46,36,7.232136809677234,4.980316751423882,4.861110614936556,0.01880538675411461,1.4064192375322684,-0.010541533598614206,231.86819696128583,0.7271404333102535,0.8527252976839924,0.8023121002120617,0.45097309860970136,0.09930814546473243,210.14358522666325,0.5066325318984664,231.86819696128583
72,38,8.023519323711906,5.631910610585747,4.232487575102248,-0.02230712507406707,1.3400943183748082,0.30984460609907616,302.1898410971696,3.07891953344234,1.7546850239978513,1.3490617906123643,1.2975226377001157,0.10361825966518065,689.6779754910842,0.6187556433888408,302.1898410971696
211,41,8.745994573638773,2.9626972295465523,5.3297589929443765,-0.011241595786599792,1.0774528301762571,0.19999850802410601,75.91752221887232,0.16038545450234662,0.4004815282910644,0.4217640123270684,0.3032064984911297,0.04749324258148399,28.86938181042239,0.8661735561202455,75.91752221887232
229,42,7.765503904978859,4.823171547667375,4.941854892755466,0.003899602755942505,0.820535306963377,0.07851872409257978,938.1592500253712,13.285131887501326,3.6448774859384954,3.6935403544305956,1.6469250271955087,0.13875657338618974,3374.4234994253366,0.3768011357478229,938.1592500253712
