Follower_ID,Run_Index,Tmax,Alpha,Beta,Wc,Gamma1,Gamma2,Wm,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference
8,1,6.519121861893754,0.32004152339971054,3.854125752530751,127947.2226869755,0.3792729512775211,0.5427336889161217,6.2209332646778055,666870.8970856615,259223.1394851713,509.1396070678172,445.1741636085858,18.606023328924472,0.6213895897998541,388316262.94878656,-7.629347280802464,666870.8970856615
12,7,5.375473672279877,0.45400545754966887,5.210573927865674,82312.24398262006,1.9788104745103257,1.5212084888879545,5.778342846921647,133557.70500000365,317483.5339601003,563.4567720420976,460.54381034484015,93.66890722092054,12.173353343597817,92070224.8484291,-3754.8915407614104,133557.70500000365
40,9,7.646062066699581,0.013459675691619365,7.859103587450922,121170.50580808325,1.7292188021267612,1.7067827353161054,3.5076570145169557,166012.27092978958,116589.61948217198,341.45222137536604,300.7468676264304,42.29993702524448,1.3732383306051266,64357469.95415894,-43.06947999467156,166012.27092978958
