Follower_ID,Run_Index,rho,lamb,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference
462,5,0.15696325220518148,0.1,825.3855326833573,13.16416203355299,3.6282450349381024,3.355225742615273,1.1582526661243977,0.12324654122771696,3238.3838602540354,0.5326881861633799,825.3855326833573
107,23,0.1526515181177802,0.10344268109915652,184.446650346846,1.864092006986707,1.3653175480402744,1.4874729866681131,1.1632140358181442,0.10636828726621761,231.14740886635167,0.7273368916825662,184.446650346846
291,28,0.12640826269508035,0.11747339050934613,477.49650937712664,4.495065876361574,2.1201570404952492,2.2956562950823396,1.0267141459817926,0.08660692060874445,934.9737022832076,0.8286036538900857,477.49650937712664
90,29,0.06270087195490548,0.1,59.634356840567456,0.11623250320333339,0.34092888291157347,0.36142034448828764,0.2891807716058502,0.04395353560825861,19.17836302855001,0.9493817788449983,59.634356840567456
118,30,0.15440418639666748,0.4,523.8144194561719,5.526258998734845,2.35079965091346,1.9618517582628159,1.3884736998677847,0.07386062494632781,1475.5111526622036,0.857519736974595,523.8144194561719
231,31,0.03789418170656831,0.11209355254975614,34.99014082484918,0.08847894349117952,0.29745410316749626,0.32101046628301994,0.22838823030049724,0.03458311716892509,9.644204840538569,0.9736393878236653,34.99014082484918
181,33,0.11861905727658568,0.4,587.8417705876279,5.6741210427307065,2.382041360415622,2.341999086006486,1.5284136642433523,0.12745618900790803,1424.2043817254073,0.678494178394665,587.8417705876279
218,35,0.157986592320162,0.2927314282234854,75.97283272154355,0.22564871866287745,0.4750249663574299,0.42207129289746415,0.3675397993403016,0.0586910198683139,40.616769359317935,0.9054060466862842,75.97283272154355
46,36,0.11595374718151623,0.1630618194909357,100.47282857416067,0.12016760083652042,0.3466519880752459,0.3476568462773726,0.2676568549503393,0.06897675193875677,34.7284366417544,0.7607068498790994,100.47282857416067
72,38,0.08418994137288047,0.14283639652648963,208.42860289183236,0.838522754693039,0.9157088809731175,0.9304848343385372,0.8198410815309948,0.05982246608398604,187.82909705124075,0.8724287809563886,208.42860289183236
211,41,0.14109219505160223,0.1,157.74392588847664,0.8664598564763213,0.9308382547340441,0.8763551438248702,0.5259094822248844,0.08999280849996738,155.9627741657378,0.521736752789965,157.74392588847664
229,42,0.0995512003334388,0.4,815.8871274129793,11.718840794293945,3.4232792457370382,3.2121540449329897,1.2102784566391556,0.10534420232765937,2976.585561750662,0.6447280573810837,815.8871274129793
