Follower_ID,Run_Index,dmin,td,K,lamb,gamma,accl,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference
462,5,8.280892711416628,2.128990442763203,2.2793065013054927,0.1,3.895113813399162,7.822516711938479,1380.7843288698332,37.992691712273086,6.163821194054309,5.6129444263001345,1.5040568292374674,0.14593066564496732,9346.20216121918,0.35854856340378616,1380.7843288698332
107,23,9.740124787278322,2.6911225034264747,1.38983129875967,0.017491354540592693,4.933830685367475,-3.233132174869228,61.75332393208922,0.27616626959856216,0.5255152420230665,0.4980106768716873,0.46050598063866677,0.04435923399631849,34.24461743022171,0.9523849344084586,61.75332393208922
291,28,5.727854613648559,1.2963433539730256,2.932838721192169,0.03380884011089673,3.7251304676918315,7.989404530286127,358.0676749169393,2.8062831337927245,1.6751964463288251,1.721479206331439,0.7183290369855787,0.06598459077822368,583.7068918288867,0.9006811872898193,358.0676749169393
90,29,6.551986017764783,2.6246165403230246,2.0599057229279456,0.046153505816016745,3.6289080143385606,4.7771238620530285,44.868400756119996,0.05827229507604596,0.24139655149990433,0.2719297015522424,0.31002128670012086,0.05016172199323225,9.614928687547584,0.9334525460302786,44.868400756119996
118,30,8.735427968917767,2.397131412817725,2.4461967221645384,0.01,3.893846737744235,7.529071904625159,2456.4923407769274,102.03487936698926,10.10123157674297,9.20034584560647,2.0208339598452807,0.09224027464482595,27243.31279098613,0.8030810204902316,2456.4923407769274
231,31,8.978688308779702,2.3512798557452976,1.4089816417146424,0.01258410254319532,3.3974568723483105,2.8380753838368284,18.876059994266402,0.026583770333328545,0.1630453014757817,0.17317486233271928,0.1814121113856316,0.03141229417202177,2.8976309663328115,0.9779213240146913,18.876059994266402
181,33,10.407820928432443,2.8624140642700904,1.364590262991123,0.07021180411728449,4.57182966506613,7.864395050224434,904.496724926111,16.25940983590912,4.032295851733739,3.603572609267374,1.544915830532294,0.12879712710278887,4081.111868813189,0.6785130972348815,904.496724926111
218,35,8.650434867811759,2.5991705889849577,1.41653677918955,0.04850830472770999,5.896017751934565,7.05350364119494,135.23792644083798,0.43520392976328726,0.6596998785533368,0.7513218135602109,0.4462123517919428,0.060852508315879676,78.3367073573917,0.8989970197273423,135.23792644083798
46,36,10.39251232503841,2.3701286049732446,1.8329358703423555,0.016595042785730225,3.093470757657266,7.615153481179045,248.08853934179385,0.6509135004228547,0.8067921048342347,0.8584378523937504,0.4773788171869391,0.11189206669261224,188.11400162220497,0.3724150214338097,248.08853934179385
72,38,9.382579649905631,1.9660238164712758,1.6693903170813564,0.029466020158308306,4.682036364865904,6.992435385546314,165.07120238694182,0.5383706481948729,0.7337374518142528,0.7369250106559901,0.7125930984715,0.048660230939627236,120.59502519565154,0.9155469429271514,165.07120238694182
211,41,10.629346871672382,2.644151982390391,2.357054615816289,0.010216563818434159,4.007248789001839,-4.164944461489317,73.10816325437906,0.13480942404203325,0.36716402879644033,0.40615646252432813,0.3333752396698883,0.05437160294707085,24.265696327565983,0.8238201008601388,73.10816325437906
229,42,6.781812776490646,2.146492685381641,2.301338762485055,0.1,4.731601291225965,8.0,1063.9688115611357,18.270579681357738,4.274409863520079,4.188853588823369,1.6084661595353689,0.12987404897967,4640.727239064866,0.4604068469816194,1063.9688115611357
