Follower_ID,Run_Index,lamb,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference
462,5,0.1061398805285163,1194.9153838424718,21.64986629555997,4.652941681942722,4.857379609115738,1.584225699558256,0.15708763765799072,5325.867108707752,0.24105452510426795,1194.9153838424718
107,23,0.21982166341284629,410.1719749175124,11.050984758132348,3.324302146034916,3.3078385073992935,2.2923054177569804,0.20803658590688093,1370.322110008411,-0.029879371086385664,410.1719749175124
291,28,0.015224531216960699,527.2090308380801,5.364018226610173,2.3160350227512048,2.5346588021061547,1.022930115566386,0.08715118439699195,1115.7157911349161,0.8271315869204972,527.2090308380801
90,29,0.017079198402149165,124.6183797084729,0.7632397712498332,0.8736359489225665,0.7552629073240782,0.4640183711316364,0.08146335843166592,125.93456225622248,0.827548082012751,124.6183797084729
118,30,0.07829392831341976,299.540704150308,1.220609208034359,1.104811842819563,1.1218752964431011,1.0119830980471942,0.05462037179169596,325.90265854517384,0.9204789659311199,299.540704150308
231,31,0.0018147123404645485,54.159937745338546,0.1959086210902126,0.4426156584331519,0.496880162801271,0.3534314505595445,0.05446473803852926,21.35403969883317,0.9344906987712323,54.159937745338546
181,33,0.009798861720418578,673.9755752643541,7.676306640603453,2.770614848838332,2.685161654439658,1.28615471752336,0.1023960157641941,1926.7529667914669,0.7953881924119695,673.9755752643541
218,35,0.1621094544971984,297.30260630848363,3.834890337824684,1.9582876034496781,1.6516811461582421,0.6426363311003042,0.0792827915204813,690.2802608084431,0.8336781254565105,297.30260630848363
46,36,0.703249839863442,589.4106061636201,4.433987831815268,2.105703642922068,2.039483066310104,0.4546528166436033,0.08550125745169332,1281.4224833946125,0.6424387787472288,589.4106061636201
72,38,0.34042159472713107,475.0339730737721,6.590101662894742,2.5671193316429104,2.120687379793625,0.924873018208941,0.06250933235056302,1476.1827724884222,0.8683466562403233,475.0339730737721
211,41,0.08351451855891487,298.2560871515264,2.72250837732547,1.650002538581523,1.6569782619529245,0.8899532537866139,0.12204899290920597,490.0515079185846,0.12679958712747746,298.2560871515264
229,42,0.8051866773168431,1213.7713138026065,21.921847722633643,4.682077287127333,4.778627219695301,1.9934775920934653,0.1633820221114481,5568.149321548945,0.13962093758819782,1213.7713138026065
