Follower_ID,Run_Index,kv,kp,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference
462,5,10.691773896884376,0.1633687187991058,771.4613691168821,10.117819206529127,3.1808519623725227,3.136021825678383,1.3181335312954818,0.1336707778157767,2488.9835248061654,0.4450891637339812,771.4613691168821
107,23,9.686703113278394,0.39014057685479386,259.0464083235318,3.483651785545024,1.8664543352423666,2.0890839380929984,1.556875041760201,0.13726059046996902,431.97282140758296,0.5473689545134317,259.0464083235318
291,28,10.477104814124594,0.049279597157723565,562.3027206478237,6.5629404375489555,2.5618236546548157,2.703378464652998,0.9866534461085703,0.09014624757439799,1365.0916110101828,0.8156879941078798,562.3027206478237
90,29,10.08223756265502,0.06077847836990166,80.57103492912437,0.28297110726934954,0.5319502864642048,0.4883093026007538,0.44834239569546025,0.0830744281536375,46.690232699442674,0.8184499167275335,80.57103492912437
118,30,10.521230816848002,0.05733931891729861,2457.776092870951,101.47344753520134,10.073402976909112,9.20515390588371,1.9432608168066017,0.07886165049028765,27093.41049189876,0.8599947988327732,2457.776092870951
231,31,10.577090496219054,-0.004186454627858022,63.809973250861745,0.2661328753791624,0.5158806794009274,0.5854125986317591,0.4663750045638574,0.07196308233271709,29.00848341632871,0.8851745633505265,63.809973250861745
181,33,10.127998079100202,-0.03662456989274408,723.5084246938172,8.552381481680762,2.924445499865019,2.8825036840391123,1.236434400890241,0.09039382919137108,2146.647751901871,0.8419143398260751,723.5084246938172
218,35,10.36216571327277,0.13514039738928546,1922.1209302213513,130.20276395615292,11.41064257420032,10.67844961234084,2.3765837520914106,0.22905233661082336,23436.49751210753,-0.3166681868648849,1922.1209302213513
46,36,10.329470262764938,0.0072547946241956485,963.1951665766447,10.865867446098232,3.296341524493212,3.3328552476700506,0.6823279997608998,0.12419956872474794,3140.235691922389,0.2475341466788556,963.1951665766447
72,38,10.845816089529404,0.5419129628771698,3327.0251365476224,245.0740685670146,15.65484169728377,14.85279078815903,3.603705381082476,0.17297725052309715,54896.59135901127,0.09113727052068299,3327.0251365476224
211,41,9.847118978484676,0.23266987542496365,154.375332164893,0.6982279777951553,0.8356003696715048,0.8576407342494055,0.5131204593138066,0.07526095383194839,125.68103600312796,0.6661038327189064,154.375332164893
229,42,9.989700524225238,-0.036803589835904045,2018.8657504603925,66.98437542903879,8.184398293646197,7.948290356143277,3.021041960751351,0.24873774214420344,17014.03135897585,-0.9792987156319415,2018.8657504603925
