Follower_ID,Run_Index,kv,kp,S_desired,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference
8,1,9.810278143693095,0.8624375524705172,2.8077898722066057,3937.7248504329514,7.034236422982441,2.652213494985357,2.6286547733197274,0.11512648944789051,0.005181267314045067,10537.286161627695,0.9993516245458034,3937.7248504329514
12,7,8.622866147306175,1.1032517677204976,2.6994402813163623,607.4345564165698,4.501940823525375,2.121777750737663,2.0946019186778266,0.2539972038996015,0.031926820150865946,1305.5628388223588,0.974832813709654,607.4345564165698
40,9,9.209390927985226,0.2228714707908039,2.992636923984567,783.6728728314379,2.264256552091145,1.5047446800341728,1.4196972333902862,0.19129000540231694,0.006884142806426178,1249.869616754312,0.9988619987969254,783.6728728314379
